Nombre ;Tipo;Sexo;Año;Día comienzo;Mes comienzo;Día término;Mes término;Duración;País;Región;Mortalidad;Heridos;Afectados;Sin casa;Oceáno;Ayuda OFDA/ BHA;Velocidad;Daño USD
Gilbert;;;;;;;;;;;;;;;;;;
Gilbert;;;;;;;;;;;;;;;;;;
Gilbert;;;;;;;;;;;;;;;;;;
Joan;;;;;;;;;;;;;;;;;;
Joan;;;;;;;;;;;;;;;;;;
Joan;;;;;;;;;;;;;;;;;;
Joan;;;;;;;;;;;;;;;;;;
Joan;;;;;;;;;;;;;;;;;;
Joan;;;;;;;;;;;;;;;;;;
Joan;;;;;;;;;;;;;;;;;;
Keith;;;;;;;;;;;;;;;;;;
Debby;;;;;;;;;;;;;;;;;;
Gilbert;;;;;;;;;;;;;;;;;;
Gilbert;;;;;;;;;;;;;;;;;;
Dean;;;;;;;;;;;;;;;;;;
Hugo;;;;;;;;;;;;;;;;;;
Hugo;;;;;;;;;;;;;;;;;;
Hugo;;;;;;;;;;;;;;;;;;
Hugo;;;;;;;;;;;;;;;;;;
Hugo;;;;;;;;;;;;;;;;;;
Hugo;;;;;;;;;;;;;;;;;;
Hugo;;;;;;;;;;;;;;;;;;
Hugo;;;;;;;;;;;;;;;;;;
Hugo;;;;;;;;;;;;;;;;;;
Hugo;;;;;;;;;;;;;;;;;;
Hugo;;;;;;;;;;;;;;;;;;
Hugo;;;;;;;;;;;;;;;;;;
Allison;;;;;;;;;;;;;;;;;;
Chantal;;;;;;;;;;;;;;;;;;
Jerry;;;;;;;;;;;;;;;;;;
Arthur;;;;;;;;;;;;;;;;;;
Arthur;;;;;;;;;;;;;;;;;;
Arthur;;;;;;;;;;;;;;;;;;
Arthur;;;;;;;;;;;;;;;;;;
Arthur;;;;;;;;;;;;;;;;;;
Gustav;;;;;;;;;;;;;;;;;;
Gustav;;;;;;;;;;;;;;;;;;
Gustav;;;;;;;;;;;;;;;;;;
Gustav;;;;;;;;;;;;;;;;;;
Klaus;;;;;;;;;;;;;;;;;;
Diana;;;;;;;;;;;;;;;;;;
Bob;;;;;;;;;;;;;;;;;;
Bob;;;;;;;;;;;;;;;;;;
Grace;;;;;;;;;;;;;;;;;;
Andrew;;;;;;;;;;;;;;;;;;
Andrew;;;;;;;;;;;;;;;;;;
Axel;;;;;;;;;;;;;;;;;;
Iniki;;;;;;;;;;;;;;;;;;
Lester;;;;;;;;;;;;;;;;;;
Bret;;;;;;;;;;;;;;;;;;
Bret;;;;;;;;;;;;;;;;;;
Calvin;;;;;;;;;;;;;;;;;;
Arlene/ Beatrice;;;;;;;;;;;;;;;;;;
Cindy;;;;;;;;;;;;;;;;;;
Irwin;;;;;;;;;;;;;;;;;;
Emily;;;;;;;;;;;;;;;;;;
Lidia;;;;;;;;;;;;;;;;;;
Wylie;;;;;;;;;;;;;;;;;;
Alberto;;;;;;;;;;;;;;;;;;
Debby;;;;;;;;;;;;;;;;;;
Gordon;;;;;;;;;;;;;;;;;;
Gordon;;;;;;;;;;;;;;;;;;
Gordon;;;;;;;;;;;;;;;;;;
Gordon;;;;;;;;;;;;;;;;;;
Allison;;;;;;;;;;;;;;;;;;
Allison;;;;;;;;;;;;;;;;;;
Felix;;;;;;;;;;;;;;;;;;
Henriette;;;;;;;;;;;;;;;;;;
Luis;;;;;;;;;;;;;;;;;;
Luis;;;;;;;;;;;;;;;;;;
Luis;;;;;;;;;;;;;;;;;;
Luis;;;;;;;;;;;;;;;;;;
Luis;;;;;;;;;;;;;;;;;;
Luis;;;;;;;;;;;;;;;;;;
Luis;;;;;;;;;;;;;;;;;;
Ismael;;;;;;;;;;;;;;;;;;
Marylin;;;;;;;;;;;;;;;;;;
Marylin;;;;;;;;;;;;;;;;;;
Marylin;;;;;;;;;;;;;;;;;;
Marylin;;;;;;;;;;;;;;;;;;
Marylin;;;;;;;;;;;;;;;;;;
Luis;;;;;;;;;;;;;;;;;;
Luis;;;;;;;;;;;;;;;;;;
Marylin;;;;;;;;;;;;;;;;;;
Opal;;;;;;;;;;;;;;;;;;
Opal;;;;;;;;;;;;;;;;;;
Opal;;;;;;;;;;;;;;;;;;
Roxane;;;;;;;;;;;;;;;;;;
Erin;;;;;;;;;;;;;;;;;;
Erin;;;;;;;;;;;;;;;;;;
Ceasar and Douglas;;;;;;;;;;;;;;;;;;
Ceasar and Douglas;;;;;;;;;;;;;;;;;;
Alma, Boris;;;;;;;;;;;;;;;;;;
Ceasar and Douglas;;;;;;;;;;;;;;;;;;
Ceasar and Douglas;;;;;;;;;;;;;;;;;;
Ceasar and Douglas;;;;;;;;;;;;;;;;;;
Ceasar and Douglas;;;;;;;;;;;;;;;;;;
Elida;;;;;;;;;;;;;;;;;;
Fran;;;;;;;;;;;;;;;;;;
Hortense;;;;;;;;;;;;;;;;;;
Hortense;;;;;;;;;;;;;;;;;;
Hortense;;;;;;;;;;;;;;;;;;
Hortense;;;;;;;;;;;;;;;;;;
Fausto;;;;;;;;;;;;;;;;;;
Lilli;;;;;;;;;;;;;;;;;;
Joséphine;;;;;;;;;;;;;;;;;;
Marco;;;;;;;;;;;;;;;;;;
Luis;;;;;;;;;;;;;;;;;;
Marcos;;;;;;;;;;;;;;;;;;
Marcos;;;;;;;;;;;;;;;;;;
Marcos;;;;;;;;;;;;;;;;;;
Nadres;;;;;;;;;;;;;;;;;;
Olaf;;;;;;;;;;;;;;;;;;
Pauline;;;;;;;;;;;;;;;;;;
Rick;;;;;;;;;;;;;;;;;;
Danny;;;;;;;;;;;;;;;;;;
Charley;;;;;;;;;;;;;;;;;;
Isis;;;;;;;;;;;;;;;;;;
Madeline & Lester;;;;;;;;;;;;;;;;;;
Georges;;;;;;;;;;;;;;;;;;
Mitch;;;;;;;;;;;;;;;;;;
Mitch;;;;;;;;;;;;;;;;;;
Mitch;;;;;;;;;;;;;;;;;;
Mitch;;;;;;;;;;;;;;;;;;
Mitch;;;;;;;;;;;;;;;;;;
Mitch;;;;;;;;;;;;;;;;;;
Mitch;;;;;;;;;;;;;;;;;;
Mitch;;;;;;;;;;;;;;;;;;
Georges;;;;;;;;;;;;;;;;;;
Georges;;;;;;;;;;;;;;;;;;
Georges;;;;;;;;;;;;;;;;;;
Georges;;;;;;;;;;;;;;;;;;
Georges;;;;;;;;;;;;;;;;;;
Georges;;;;;;;;;;;;;;;;;;
Georges;;;;;;;;;;;;;;;;;;
Georges;;;;;;;;;;;;;;;;;;
Bonnie;;;;;;;;;;;;;;;;;;
Frances;;;;;;;;;;;;;;;;;;
Hurricane Irene;;;;;;;;;;;;;;;;;;
Irene;;;;;;;;;;;;;;;;;;
Jose;;;;;;;;;;;;;;;;;;
Lenny;;;;;;;;;;;;;;;;;;
Lenny;;;;;;;;;;;;;;;;;;
Lenny;;;;;;;;;;;;;;;;;;
Lenny;;;;;;;;;;;;;;;;;;
Lenny;;;;;;;;;;;;;;;;;;
Lenny;;;;;;;;;;;;;;;;;;
Lenny;;;;;;;;;;;;;;;;;;
Lenny;;;;;;;;;;;;;;;;;;
Lenny;;;;;;;;;;;;;;;;;;
Lenny;;;;;;;;;;;;;;;;;;
Lenny;;;;;;;;;;;;;;;;;;
Lenny;;;;;;;;;;;;;;;;;;
Lenny;;;;;;;;;;;;;;;;;;
Dennis;;;;;;;;;;;;;;;;;;
Keith;;;;;;;;;;;;;;;;;;
Keith;;;;;;;;;;;;;;;;;;
Keith;;;;;;;;;;;;;;;;;;
Keith;;;;;;;;;;;;;;;;;;
Leslie;;;;;;;;;;;;;;;;;;
Allison;;;;;;;;;;;;;;;;;;
Dalila;;;;;;;;;;;;;;;;;;
Iris;;;;;;;;;;;;;;;;;;
Iris;;;;;;;;;;;;;;;;;;
Iris;;;;;;;;;;;;;;;;;;
Iris;;;;;;;;;;;;;;;;;;
Lorena;;;;;;;;;;;;;;;;;;
Michelle;;;;;;;;;;;;;;;;;;
Michelle;;;;;;;;;;;;;;;;;;
Michelle;;;;;;;;;;;;;;;;;;
Michelle;;;;;;;;;;;;;;;;;;
Michelle;;;;;;;;;;;;;;;;;;
Michelle;;;;;;;;;;;;;;;;;;
Michelle;;;;;;;;;;;;;;;;;;
Michelle;;;;;;;;;;;;;;;;;;
Chantal;;;;;;;;;;;;;;;;;;
Chantal;;;;;;;;;;;;;;;;;;
Isidore;;;;;;;;;;;;;;;;;;
Isidore;;;;;;;;;;;;;;;;;;
Lili;;;;;;;;;;;;;;;;;;
Lili;;;;;;;;;;;;;;;;;;
Lili;;;;;;;;;;;;;;;;;;
Lili;;;;;;;;;;;;;;;;;;
Lili;;;;;;;;;;;;;;;;;;
Julio;;;;;;;;;;;;;;;;;;
Isidore;;;;;;;;;;;;;;;;;;
Lili;;;;;;;;;;;;;;;;;;
Kenna;;;;;;;;;;;;;;;;;;
Lili;;;;;;;;;;;;;;;;;;
Isidore;;;;;;;;;;;;;;;;;;
Isidore;;;;;;;;;;;;;;;;;;
Isidore;;;;;;;;;;;;;;;;;;
Fabian;;;;;;;;;;;;;;;;;;
Isabel;;;;;;;;;;;;;;;;;;
Isabel;;;;;;;;;;;;;;;;;;
Marty;;;;;;;;;;;;;;;;;;
Juan;;;;;;;;;;;;;;;;;;
Odette;;;;;;;;;;;;;;;;;;
Odette;;;;;;;;;;;;;;;;;;
Ignacio;;;;;;;;;;;;;;;;;;
Bill;;;;;;;;;;;;;;;;;;
Catarina;;;;;;;;;;;;;;;;;;
Charley;;;;;;;;;;;;;;;;;;
Charley;;;;;;;;;;;;;;;;;;
Charley;;;;;;;;;;;;;;;;;;
Charley;;;;;;;;;;;;;;;;;;
Gaston;;;;;;;;;;;;;;;;;;
Frances;;;;;;;;;;;;;;;;;;
Frances;;;;;;;;;;;;;;;;;;
Frances;;;;;;;;;;;;;;;;;;
Frances;;;;;;;;;;;;;;;;;;
Frances;;;;;;;;;;;;;;;;;;
Ivan;;;;;;;;;;;;;;;;;;
Ivan;;;;;;;;;;;;;;;;;;
Ivan;;;;;;;;;;;;;;;;;;
Ivan;;;;;;;;;;;;;;;;;;
Ivan;;;;;;;;;;;;;;;;;;
Ivan;;;;;;;;;;;;;;;;;;
Ivan;;;;;;;;;;;;;;;;;;
Ivan;;;;;;;;;;;;;;;;;;
Ivan;;;;;;;;;;;;;;;;;;
Ivan;;;;;;;;;;;;;;;;;;
Ivan;;;;;;;;;;;;;;;;;;
Ivan;;;;;;;;;;;;;;;;;;
Ivan;;;;;;;;;;;;;;;;;;
Ivan;;;;;;;;;;;;;;;;;;
Jeanne;;;;;;;;;;;;;;;;;;
Jeanne;;;;;;;;;;;;;;;;;;
Jeanne;;;;;;;;;;;;;;;;;;
Jeanne;;;;;;;;;;;;;;;;;;
Jeanne;;;;;;;;;;;;;;;;;;
Jeanne;;;;;;;;;;;;;;;;;;
Huracan Dennis;;;;;;;;;;;;;;;;;;
Huracan Dennis;;;;;;;;;;;;;;;;;;
Huracan Dennis;;;;;;;;;;;;;;;;;;
Huracan Dennis;;;;;;;;;;;;;;;;;;
Huracan Dennis;;;;;;;;;;;;;;;;;;
