Nombre ;Clasificación ;Significado ;Link ;¿Repetido?
Maemi;Muy probablemente mujer;;https://www.thebump.com/b/maemi-baby-name#:~:text=Maemi%2C%20a%20lovely%20girl's%20name,charm%20to%20this%20name's%20story;
Mahasen;Mujer;Radiante;https://www.timesnownews.com/baby-names/meaning-of-mahasen ;
Makurazaki;Lugar ;Provincia japonesa ;;
Mal ;Hombre;;https://www.google.com/search?q=Mal+name+oceania&rlz=1C5CHFA_enCL1034CL1034&oq=Mal+name+oceania&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQIRigATIHCAIQIRigAdIBCDY4NzFqMGo0qAIAsAIB&sourceid=chrome&ie=UTF-8#:~:text=Mal%20(name),org%20%E2%80%BA%20wiki ;
Mala;Probablemente mujer;;https://www.momjunction.com/baby-names/mala/ ;
Malakas;Sin información ;;;
Mameng;Misceláneo ;Apodo filipino para Carmen;;
Mamie ;Mujer ;;;
Man-yi;Sin información ;;;
Man-Yi;Sin información ;;;
Mandous;Misceláneo ;"""trasure box"", arábico";;
Manou;Sin información ;;;
Maring;Sin información ;;;
Matmo;Sin información ;;;
Matsa;Sin información ;;;
Maury;Probablemente hombre;;https://www.thebump.com/b/maury-baby-name  ;
Mawar;Mujer ;;;Sí
Mawar;Mujer;;;
Maymay;Mujer;;;
Maysak;Misceláneo ;Tipo de árbol ;;Sí
Meari;Sin información ;;;
Mearl;Sin información ;;;
Megh;Mujer;;https://parenting.firstcry.com/baby-names/meaning-of-megh/;
Megi;;;;
Mekkhala;Mujer ;;https://www.thebump.com/b/mekhala-baby-name#:~:text=Mekhala%20is%20a%20girl's%20name,Mekhala%20is%20a%20fitting%20choice;
Mekunu;Misceláneo ;Tipo de pez;;
Melor;Sin información ;;;
Melor;Sin información ;;;
Meranti;Misceláneo ;Planta;;
Michaung;Misceláneo ;Resilencia;;
Mindulle;Misceláneo ;"""Corean dandelion""";https://en.wikipedia.org/wiki/List_of_storms_named_Mindulle#:~:text=The%20name%20Mindulle%20has%20been,Korean%20dandelion%20(Taraxacum%20platycarpum). ;Sí
Mitag;Mujer ;"""my eyes""";https://www.hko.gov.hk/en/informtc/sound/tc_pronunciation2019e.htm;Sí
Mocha;Mujer;; https://nameberry.com/b/girl-baby-name-mocha;
Molave;Unisex;;https://www.names.org/n/molave/about ;
Morakot;Hombre;Esmeralda;Esmeralda, hombre https://www.ask-oracle.com/baby-name/morakot/ ;
Muifa;Sin información ;;;
Mujigae;Misceláneo ;Arcoíris, coreano;;
Nabi;Sin información ;;;
Nakri;Sin información ;;;Sí
Nalgae;Misceláneo ;Alga, coreano;;
Namu ;Sin información ;;;
Nangka;Misceláneo ;Fruta;;Sí
Nanmadol;Misceláneo ;“the space between the intervals”, filipino;;Sí
Narda;Mujer;;https://www.todopapas.com/nombres/nombres-de-nina/narda ;
Narge ;Misceláneo ;Flor de narciso ;https://en.wikipedia.org/wiki/Nargess_(given_name) ;
Nargis;Mujer ;"""daffodil flower; loves beauty""";https://en.wikipedia.org/wiki/Nargess_(given_name) ;
Nari;Sin información ;;;
Nari;Mujer ;;https://en.wikipedia.org/wiki/Nari_(Korean_name)  ;
Nell;Sin información ;;;
Neoguri;Misceláneo ;"""raccoon dog""";;Sí
Nepartak;Sin información ;;;
Nesat;Misceláneo ;"""Fishing"", Cambodia";https://en.wikipedia.org/wiki/Tala_(name)  ;Sí
Nida;Sin información ;;;
Nika;Mujer;;https://www.thebump.com/b/nika-baby-name ;
Nilam;Misceláneo ;Safiro;;
Niran;Hombre;;https://nameberry.com/b/boy-baby-name-niran ;
